Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Gphn,16.42077391,20.3324734,16.42077391,20.3324734,13.33305092,13.44458728,17.22102243,17.85913922,8.978325752,11.74204477,14.7193465,15.62419201,10.95370919,12.79332456,24.19383798,20.05243037,12.26375122,13.90200774,28.08179591,31.76488516,11.31864072,11.75175816,22.77076345,22.38274952,14.13079854,10.77319022,24.20167122,28.53730452
Actn1,334.0887923,397.5358799,334.0887923,397.5358799,322.7628925,374.8186527,391.960311,382.8024022,274.0275595,426.4392302,511.541297,656.206942,389.4098286,401.9020681,531.0319949,716.0862712,385.8346797,414.1198203,611.9008598,678.5928526,360.5804819,413.0029223,452.3316818,533.4763425,386.375576,419.5593716,319.2158005,474.3871541
Cul4b,23.1495691,18.49093862,23.1495691,18.49093862,24.29161994,21.83163905,27.35800209,17.52376815,20.50854305,18.98511703,16.04815417,16.22857981,18.07654092,21.51938117,13.89655408,11.47071157,27.28876968,27.61444865,16.29522143,13.3028693,24.01036109,22.23767329,13.55187363,13.37389621,26.20069545,20.25279172,16.62593448,16.12844036
Txn2,303.8660297,295.77875,303.8660297,295.77875,360.6870864,279.8361519,266.1694889,220.217116,361.210744,267.3392925,188.0886926,192.0610194,308.503881,241.8138942,143.3490169,152.3326976,295.623314,367.1367242,107.0010014,81.57458498,348.8265711,302.8637752,92.45204898,119.6736484,328.6138279,261.9451665,91.32997906,98.00942689
Rpl19,2839.648797,2547.251463,2839.648797,2547.251463,2795.011899,3275.830623,2725.651733,2555.572257,3073.746545,2699.560924,2727.693341,2570.735846,2868.690917,3014.809082,2699.824005,2446.899324,2892.613585,2316.93618,2343.131318,2578.953467,2759.071453,3033.572347,2388.922224,1933.71403,2758.984089,3043.758371,2441.861469,2140.264212
Arfgef2,18.47821065,12.04291577,18.47821065,12.04291577,11.84733484,12.54097138,14.59344531,10.55687383,12.86679826,11.65744246,11.75848919,8.187290645,15.77286517,12.38567469,9.239034477,6.541666163,12.48661513,11.1399549,8.672212228,9.43557161,16.28700838,11.64691956,11.6695433,7.87333774,12.93687216,10.28076983,14.46212823,8.719757239
Stau1;AK041781,47.91665184,38.41590669,47.91665184,38.41590669,37.32310207,39.743245,53.3807643,50.93428214,36.98261368,55.55763638,55.46222838,66.24231771,46.76909314,43.41976037,69.16796714,81.62221783,35.79923301,43.94230988,71.45582672,77.31529965,37.14666079,35.26231557,60.19557149,60.11905427,46.37464608,43.63966986,59.40830342,58.39645947
Sh3bp1,121.5209137,78.75405634,121.5209137,78.75405634,100.3647693,93.19734985,99.63503154,101.5769398,110.886927,85.05706511,69.38287837,47.96096602,129.6662539,106.9806086,27.17556219,24.42278702,103.3732983,112.4937903,35.52979098,29.69000792,115.2192053,103.1951991,43.42176538,41.54842086,105.0499245,106.1665549,50.01796069,42.26928143
Bptf,34.22754194,57.17665246,34.22754194,57.17665246,41.3439512,42.58132005,39.38919487,69.32415491,35.93818305,56.81649194,24.92419739,41.48486233,47.26678532,49.6726345,34.34541585,63.49167234,32.43043932,87.83605827,41.4325371,59.15765625,39.98624114,60.31636165,24.73885779,53.25834131,43.9566997,50.10186407,23.9821018,44.70269716
Lasp1,278.3175601,232.2907072,278.3175601,232.2907072,228.8763154,248.3424519,224.103424,221.0737915,249.7203091,235.0013859,245.4311403,239.6327131,327.2276638,302.8576463,200.689859,182.321298,297.6591758,239.8017675,215.4843112,201.1328549,317.2375742,217.9484851,242.4687109,204.1100356,253.9364272,218.8263279,213.4807253,181.5604277
Snf8,233.8042743,291.2121123,233.8042743,291.2121123,233.5224416,212.7497875,243.7937713,320.5181718,220.3152213,266.7941806,185.3644469,170.3324239,230.639682,199.05014,221.8422741,227.7638042,256.1978389,291.3419072,171.7695808,196.7625635,240.1449349,201.1862904,169.5402543,244.3949916,259.3095878,241.0556117,179.342203,202.6500322
Cd300lf,209.728134,496.4840798,209.728134,496.4840798,239.4510534,373.0065329,259.4159785,532.5006105,336.6563052,415.1951554,204.714884,289.9930432,440.8991033,285.1736024,158.5105708,161.5455301,291.4736659,418.4868271,207.3976556,256.8272769,236.9326852,293.9179663,271.8023693,497.5111826,239.7891938,303.7645813,361.8522446,525.9649798
H6pd,14.27726742,8.056340357,14.27726742,8.056340357,9.302484363,12.67126672,8.702466287,4.235599755,9.333418323,8.372809684,2.095479693,2.229256587,9.526435059,15.34830021,2.185774855,0.366763138,12.32263709,7.690290424,2.90415115,4.041949932,14.08585553,10.0566956,6.973600483,4.380367852,9.034117263,8.477361594,11.03474662,4.989424076
Lepre1,14.75986943,9.750650721,14.75986943,9.750650721,8.705067135,12.92941659,9.890257428,7.671372818,8.718620093,4.884316561,7.4256121,3.876375015,8.401608414,15.2736382,3.870836681,5.671934571,10.59281783,9.168743442,4.496069451,3.637849757,10.98816661,9.111834407,6.725312806,4.913508599,8.94553956,8.551925729,10.22556278,8.727386327
Epb4.1,36.93864825,46.33021378,36.93864825,46.33021378,29.74983284,39.62194805,43.70666913,66.15270637,31.82669632,38.69181764,16.97422883,30.38465023,34.74710853,45.83670505,6.434395096,9.648635887,32.47807329,45.20174097,8.562881439,13.32734357,33.74295379,37.00574874,15.38048186,20.07427193,36.71658811,46.16060445,26.53048257,34.94783969
0610037L13Rik,40.83216029,31.7053081,40.83216029,31.7053081,33.4637163,42.2000945,36.65179825,21.74691662,29.40334504,38.13696464,38.39918461,36.48960462,35.47276461,30.96444117,30.17730131,40.48389872,37.15172263,22.18100187,29.95922977,24.14062894,32.2996182,49.24533658,35.89940401,19.75551724,39.72126802,36.26712459,32.5126451,40.11764049
Srrm1,129.9400891,229.6867881,129.9400891,229.6867881,132.0318778,182.7967494,183.8410626,466.4992974,144.9819843,237.0766957,136.1119133,238.9826402,175.263932,164.187537,128.5478509,217.4258349,140.6036283,264.682465,107.4362665,154.2589,147.0020272,185.938936,102.6803457,228.6508812,168.5958686,206.90057,122.3211217,242.2039118
Osbpl9,84.35775088,35.3220959,84.35775088,35.3220959,68.15699096,59.70765963,68.38537892,41.9641488,54.15535674,44.44159862,66.01616608,43.79025464,69.26980571,53.41177646,42.86664048,39.12536964,58.12413463,43.85750295,52.5253741,43.57389198,69.89495408,59.56456181,67.04304304,36.07295513,57.89362271,43.31645502,72.5694949,44.60520658
Gosr2,74.48442338,39.9886984,74.48442338,39.9886984,66.82707136,53.93622829,76.9700013,36.61678711,60.67507874,40.39780656,75.13525039,73.07371457,59.00677817,69.91055857,79.96606465,54.05278675,59.67708415,45.71987845,86.90089433,60.28792315,70.05060026,40.34324655,116.5979557,60.74135254,56.45695765,49.41829727,114.547035,75.5797661
Nrd1;AK138781;Mir761,98.70751088,98.01436879,98.70751088,98.01436879,67.3589453,77.91321678,100.6611109,137.3395723,90.22129815,82.76971458,103.0251027,103.9829966,101.1176422,85.80004176,72.46489998,81.04983246,74.43042582,93.36589376,53.90163627,67.24162827,78.06820885,82.162176,63.40104089,72.83846786,69.63165884,92.57804886,84.64264998,67.32166343
Sec24a,65.79217297,106.3971217,65.79217297,106.3971217,60.25453207,85.15139029,250.4414365,190.0518258,75.09375559,123.7287513,68.60814061,95.65629304,171.4296282,79.77906457,80.3913601,111.9468712,98.37208866,133.3701732,63.9222318,88.41585294,82.03415313,82.07043639,48.10929027,133.999113,132.1126581,120.9575871,45.58871512,94.62401902
Exoc7,21.5882494,13.92952229,21.5882494,13.92952229,16.89171474,14.02967293,16.54047981,6.100530708,18.55922023,15.25031137,13.79496788,13.48662562,20.31007334,19.48866203,9.913304556,9.426133141,18.74864194,10.28094764,13.77546146,12.73258277,17.01295988,16.26289502,17.25779957,10.21194051,15.22251382,16.41562506,17.63405027,18.18830549
Sh3pxd2b,167.5721119,168.8198419,167.5721119,168.8198419,135.8384329,149.6252298,214.4208986,185.7573856,156.0379217,159.7670699,147.4834843,117.0529959,198.4292682,148.3123351,99.7831498,55.2385771,157.9370821,142.9904848,78.63137365,61.4774693,149.6685143,131.9377465,87.55412083,85.89632118,131.1728873,127.0479438,100.5065749,82.94584363
