Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Aifm1,0.011576022,0.004181468,0.032047185,0.00597239,0.002139324,0.016673234,1.301800547,0.780847538,2.170314413,1.188608948,0.567226354,2.490700973,1.369677376,0.813741718,2.30541961,1.773259044,0.765923924,4.10543076,0.008014814,0.0019014,0.033784178,0.004766126,0.000824381,0.027555179,1.222057686,0.794413308,1.879909329,1.288814103,0.762377342,2.178765949,1.207163277,0.784893565,1.856612468,1.207295615,0.719526903,2.025723701,74.01235339,67.93189025,80.63706802,85.69079651,81.05332738,90.59359861,17.98347051,15.83331441,20.42561672,14.91097983,13.27156738,16.7529059
Tmem214,0.024200787,0.003216267,0.182098725,0.073208352,0.039777975,0.134734429,1.349956854,0.798573359,2.282048964,2.624269509,1.282306028,5.370629402,1.307941706,0.780208271,2.192634415,1.018274789,0.513803501,2.018054655,0.002748215,0.000556086,0.013581874,0.002161555,0.000635468,0.007352565,1.19677479,0.778526649,1.839718523,1.263899281,0.752345982,2.123280285,1.215926301,0.788681611,1.874618032,1.207096324,0.721696538,2.018967055,0.729597182,0.191179614,2.784355693,1.84978896,1.442987701,2.371273985,2.09824629,1.384801883,3.17925441,1.017223527,0.657860777,1.57289162
Smad2,0.032068411,0.024664391,0.041695049,0.035396119,0.026947139,0.046494185,0.855035871,0.560842224,1.303550821,0.809163221,0.461322478,1.419278598,2.925895454,2.016106346,4.246236427,2.502266118,1.655215978,3.78279077,0.00604276,0.00424068,0.008610634,0.005354523,0.004334407,0.006614725,1.002833126,0.681547496,1.475574753,1.161045867,0.791889483,1.702292472,1.705769661,1.130488617,2.573798702,2.63044244,1.914378182,3.614347203,9.849098776,9.355873478,10.36832605,11.58488822,11.22228805,11.95920426,1.053275102,0.717037967,1.547182284,0.715147223,0.546162906,0.936415757
Pcnt,0.021071903,0.005948535,0.074644451,0.017826327,0.007969718,0.03987317,1.368431336,0.808441694,2.316313391,1.271858388,0.612184426,2.642379797,1.261658228,0.75712972,2.102389384,2.056500129,0.92362286,4.578917396,0.000905752,0.000423067,0.001939142,0.000287651,0.000156381,0.000529111,1.206467624,0.787642637,1.848000678,1.215803831,0.738176901,2.002472513,1.244299624,0.808116056,1.915914851,1.298630538,0.77224295,2.183822171,0.535266889,0.455206806,0.629407642,0.525448543,0.474154566,0.582291497,0.168061561,0.129818505,0.217570585,0.138020185,0.116674964,0.16327043
Stx5a,0.005316278,0.001582449,0.017860172,0.021171122,0.004144861,0.108137858,1.222198291,0.736129016,2.029221276,1.539284927,0.695178839,3.408328839,1.338364282,0.793623603,2.257013204,1.571548013,0.705298084,3.501729571,0.002201154,0.000567945,0.008530895,0.004623366,0.001535559,0.013920349,1.194649012,0.77783045,1.834829507,1.221986564,0.731963801,2.040061491,1.215318498,0.789256507,1.871380267,1.29645482,0.769486114,2.184308552,4.876748837,4.032794253,5.897320252,7.69522173,5.719026533,10.35428619,2.700371616,1.968229598,3.70485581,2.067504774,1.458028316,2.93175101
Slk,0.015607347,0.011679053,0.020856938,0.012122665,0.007849066,0.018723118,1.673475789,1.096064798,2.555069026,2.394903333,1.304415901,4.397034696,0.988723619,0.642456536,1.521619505,1.129848163,0.589697257,2.164766507,0.006251214,0.00327087,0.01194718,0.00247574,0.001536317,0.003989599,1.252043881,0.819713041,1.912393486,1.390316428,0.85431593,2.262605325,1.291258561,0.831833277,2.004426508,1.132539133,0.694886942,1.845832481,42.45347225,40.9833465,43.97633332,38.5559697,37.46494661,39.67876467,6.86565095,5.694482917,8.277689767,6.604835819,6.126075921,7.121011355
Ptprc,0.013215574,0.006757448,0.025845761,0.009489355,0.004195375,0.021463599,1.367126013,0.824843501,2.265925033,1.669860016,0.769743693,3.622546699,1.285956825,0.781255482,2.11670189,1.483475682,0.70006259,3.143576202,0.007140688,0.005738683,0.008885214,0.007684929,0.006081009,0.009711896,1.195302909,0.84461239,1.691603228,0.890475818,0.597393649,1.327344516,1.475566602,1.047874609,2.077821887,1.656153431,1.14229126,2.401177601,68.97536688,64.91540802,73.2892449,68.32666089,64.16182281,72.76184473,12.47301127,10.71643554,14.51751468,9.027462533,7.318849411,11.13495786
Cd48,0.008899535,0.002233761,0.035456666,0.012719715,0.002997032,0.053983798,1.281003431,0.767500411,2.138070244,1.542599478,0.694604899,3.425851376,1.31180397,0.782377114,2.199488744,1.452309842,0.663913334,3.176926519,0.001530889,0.001110541,0.002110341,0.003513226,0.00190693,0.00647258,1.14961413,0.785328211,1.682879374,1.222171782,0.741082738,2.015569635,1.330100722,0.910994231,1.942018808,1.340094618,0.794053227,2.261628721,13.47591234,11.68665008,15.5391162,16.82666387,13.94950871,20.29724652,2.12761338,1.772599318,2.553729232,3.91472149,2.908877979,5.26836961
Wars,0.005850323,0.003002091,0.011400812,0.006515481,0.002518954,0.016852827,1.555683652,0.91913787,2.633067034,1.606351568,0.730117351,3.534178931,1.083917865,0.666737411,1.762129918,1.304874939,0.618891755,2.751205834,0.011915661,0.008552419,0.0166015,0.010655245,0.00726101,0.015636151,1.290027827,0.854453259,1.947645207,1.128234844,0.703246474,1.810053674,1.229945748,0.824138933,1.835572236,1.385023984,0.855890387,2.241281671,78.94505824,76.42510454,81.548102,87.22865109,82.97892783,91.69602174,13.27209709,11.70015022,15.05523928,12.78605636,11.63853608,14.04671826
Srp9,0.022018299,0.013776925,0.035189674,0.016192186,0.006251776,0.041937988,1.38461999,0.850272811,2.254773401,1.422095897,0.66795675,3.027676179,1.26267785,0.779962146,2.044144528,1.575820399,0.72784108,3.411747424,0.003447726,0.001876984,0.006332933,0.001406207,0.000385802,0.005125483,1.286712679,0.843308025,1.963255975,1.26306926,0.750789466,2.124888571,1.154510408,0.761108112,1.751254863,1.230918395,0.733920197,2.064475268,60.10539134,55.8604749,64.67288498,58.43743762,51.76470658,65.97031724,10.06283851,7.419140408,13.6485783,11.81162637,8.201912423,17.00999844
