Gene Group,M/L MOCK R1 0h,H/L MOCK R1 0h,M/L LPS R1 0h,H/L LPS R1 0h,M/L MOCK R2 0h,H/L MOCK R2 0h,M/L LPS R2 0h,H/L LPS R2 0h,M/L MOCK R1  0.5h,H/L MOCK R1  0.5h,M/L LPS R1  0.5h,H/L LPS R1  0.5h,M/L MOCK R2  0.5h,H/L MOCK R2  0.5h,M/L LPS R2  0.5h,H/L LPS R2  0.5h,M/L MOCK R1 01h,H/L MOCK R1 01h,M/L LPS R1 01h,H/L LPS R1 01h,M/L MOCK R2 01h,H/L MOCK R2 01h,M/L LPS R2 01h,H/L LPS R2 01h,M/L MOCK R1 02h,H/L MOCK R1 02h,M/L LPS R1 02h,H/L LPS R1 02h,M/L MOCK R2 02h,H/L MOCK R2 02h,M/L LPS R2 02h,H/L LPS R2 02h,M/L MOCK R1 03h,H/L MOCK R1 03h,M/L LPS R1 03h,H/L LPS R1 03h,M/L MOCK R2 03h,H/L MOCK R2 03h,M/L LPS R2 03h,H/L LPS R2 03h,M/L MOCK R1 04h,H/L MOCK R1 04h,M/L LPS R1 04h,H/L LPS R1 04h,M/L MOCK R2 04h,H/L MOCK R2 04h,M/L LPS R2 04h,H/L LPS R2 04h,M/L MOCK R1 05h,H/L MOCK R1 05h,M/L LPS R1 05h,H/L LPS R1 05h,M/L MOCK R2 05h,H/L MOCK R2 05h,M/L LPS R2 05h,H/L LPS R2 05h,M/L MOCK R1 06h,H/L MOCK R1 06h,M/L LPS R1 06h,H/L LPS R1 06h,M/L MOCK R2 06h,H/L MOCK R2 06h,M/L LPS R2 06h,H/L LPS R2 06h,M/L MOCK R1 09h,H/L MOCK R1 09h,M/L LPS R1 09h,H/L LPS R1 09h,M/L MOCK R2 09h,H/L MOCK R2 09h,M/L LPS R2 09h,H/L LPS R2 09h,M/L MOCK R1 12h,H/L MOCK R1 12h,M/L LPS R1 12h,H/L LPS R1 12h,M/L MOCK R2 12h,H/L MOCK R2 12h,M/L LPS R2 12h,H/L LPS R2 12h,M/L MOCK R1 24,H/L MOCK R1 24,M/L LPS R1 24,H/L LPS R1 24,M/L MOCK R2 24,H/L MOCK R2 24,M/L LPS R2 24,H/L LPS R2 24
Gphn,12.09607413,0.297156284,12.09607413,0.297156284,6.505030912,0.349631893,6.505030912,0.349631893,6.224527089,0.26913601,6.383382298,2.035592893,7.394559297,0.421281102,7.11986442,0.220513054,6.564510365,0.304862791,6.557976079,0.335739608,7.548745797,0.332005562,7.457094283,0.412567514,7.0539722,0.586154764,7.074705069,0.249014264,7.54629468,0.575701627,7.683741894,0.311431169,9.991135523,0.602495709,6.65083478,1.382099781,7.208237492,0.362479887,7.434571188,0.387532271,6.00596516,0.641981833,6.916082023,0.399105769,6.725724642,0.384565288,6.989271418,0.45882003,5.986281018,0.293354026,6.470997426,0.528919379,6.57771707,0.400365279,7.47091876,0.538111872,10.25979652,1.064364154,7.085368901,0.522439407,6.597725982,0.342684202,7.202987085,0.459091943,5.178232575,1.514301568,6.796965105,1.254251822,5.572142306,0.55086198,7.109803057,1.167273223,5.435426447,0.884504582,6.343252507,1.760519949,6.849515238,2.884489997,5.473031592,1.480301736,3.682306522,0.960560628,7.893303974,5.169083104,3.987898064,2.390066432,5.854278153,3.172792374
Actn1,132.3602908,10.98784234,132.3602908,10.98784234,133.7616504,10.3738691,133.7616504,10.3738691,118.4478056,16.06326902,125.2502973,16.62811987,131.1359604,17.3843631,130.3928155,16.20446477,126.3149971,15.25237595,127.9366346,13.18355467,133.2665009,24.15890036,123.8782608,20.26705741,132.0435978,13.69582503,126.7895256,15.85536942,119.8621156,13.59907116,131.7895468,21.36887346,126.0911157,10.15092638,126.5961253,23.09438611,132.3452855,22.59313295,124.4829175,17.42834159,125.6457527,22.30924391,123.6273542,15.74160415,118.869642,14.95290225,115.2248515,16.25787567,123.2715261,25.59001184,125.1306309,20.23531186,119.2445764,13.4106089,115.1071344,16.56661779,122.6897775,15.75162004,121.3362322,17.53277405,133.9944597,20.5814958,128.5188884,18.0727746,119.897339,25.35731825,122.9094942,29.28803766,110.9848853,17.17352638,119.8764414,26.65084001,124.4186301,16.25009373,117.3822533,31.21005774,116.0732996,25.85962375,121.2483408,30.70027695,108.5992191,26.54990657,112.2755382,43.43244411,106.2086885,25.09599976,102.920516,43.54189499
Cul4b,8.320294063,0.753199983,8.320294063,0.753199983,6.405256436,4.520842769,6.405256436,4.520842769,7.261300574,1.477358892,8.629873841,1.425984324,8.821197633,1.661257454,10.01592188,1.786393019,8.004279467,5.015972217,7.040491759,1.694034684,6.939911971,3.799328671,8.537230226,1.008937824,7.612444318,2.384371537,8.397005242,5.379867705,7.091835572,0.80757442,7.530566474,1.760427129,6.527099892,1.686218593,7.590880059,1.785818136,9.261091875,0.565643442,5.584909466,0.834417065,6.932186506,1.325875534,7.22293743,2.263175877,6.585331121,2.812021098,6.85716946,1.098118391,5.732840138,2.882833003,6.06151661,1.854839629,7.768962687,1.487341663,7.730252932,1.125811093,6.32132989,0.958120697,5.415882961,1.09608688,7.36880068,5.252178395,7.86555102,3.371715051,5.916203386,4.936626549,5.938542688,1.819883013,6.141968719,1.393189708,6.682853205,1.894829552,4.608264516,4.703512918,5.12470718,1.864444709,6.484026716,1.631991952,6.095240387,1.400038571,4.342108831,2.490151025,2.966669063,2.43635247,5.878534808,3.904356252,5.113453025,3.703048503
Txn2,18.17208277,3.832494496,18.17208277,3.832494496,NA,NA,NA,NA,18.13165622,8.13373602,23.61923505,15.05618109,16.14652918,1.398958342,17.83395423,1.399929532,18.51419964,4.033566521,21.29742097,6.696891432,18.20709244,2.199375269,16.26933672,2.052156532,21.70882043,3.371952705,20.32273275,4.188630106,17.33542899,1.660635067,17.61230917,2.936906772,22.66973465,4.546238145,20.75330331,3.653307185,19.3264512,2.593579841,16.90721492,3.417423813,23.51705028,3.488776719,20.69013857,3.542665505,16.88454338,2.53701353,15.68419135,1.663103716,19.22154121,4.445999104,23.20043747,4.132610356,18.13068443,2.74639875,15.01164952,2.115537242,22.70323998,4.010410904,18.86120259,1.846661146,17.5186874,2.056174531,15.11515689,2.007339898,21.15633999,3.364052144,18.54643016,4.234701235,17.09080049,2.388526349,13.65739137,1.941910336,23.48792966,3.853572181,16.11245304,3.365384158,NA,NA,13.49522714,1.564171208,18.64292069,4.132715745,NA,NA,NA,NA,10.0291961,2.102673954
Rpl19,425.4319386,62.00293413,425.4319386,62.00293413,529.7017062,43.58029944,529.7017062,43.58029944,414.0241867,56.37689682,453.4579454,52.18444926,512.8880692,41.28129615,613.5090594,40.94946727,483.7552818,80.80264516,429.7917305,33.21392028,562.7599061,46.51263573,544.1527318,40.36111634,467.2954826,31.55008588,452.2088759,36.2439903,530.4755689,43.25851299,514.390279,55.12615922,437.2266511,34.39618733,437.2318476,34.38747662,474.627162,40.10085815,515.3030623,69.40464947,427.8415323,69.98430454,453.1895927,57.23594065,536.8140528,49.65940397,498.2584474,54.734393,556.2759454,81.73218246,575.7884777,68.8518898,511.4703796,45.14166999,568.9928494,75.99138514,437.0608636,43.43769952,458.4244496,62.69892421,534.0765861,55.72503486,572.5093243,79.92053125,605.725326,71.36486765,548.9735309,93.34271783,535.4368735,70.14879135,567.3902213,114.9361653,519.5879615,86.33493455,542.550931,119.1876564,561.349766,79.67536247,496.7289286,107.1097774,413.9563995,109.2876523,436.7761131,160.4018517,545.0034826,182.5202763,605.8543059,196.2502155
Arfgef2,3.363567704,0.65354948,3.363567704,0.65354948,3.292395619,0.60555586,3.292395619,0.60555586,3.612511901,0.568040545,2.838469802,1.642365783,3.248366437,0.794384349,2.885459684,0.865817523,3.303782187,0.61809575,3.23381687,0.675874819,2.996878978,1.259255584,3.069357892,0.676035222,3.380945637,0.589496913,3.636183656,0.882027634,3.195306112,1.101258359,3.258939666,0.842269631,3.030207128,0.631664633,3.261416573,0.819373664,2.826425697,0.613127399,3.379664515,0.779586504,3.344067431,0.767351932,3.308953312,0.581029046,2.991373654,0.712527476,2.814154848,0.650539466,2.59925314,1.016249348,3.061813764,0.957053789,2.973220809,0.466510646,3.16385171,0.455000844,3.117706529,0.868030499,3.026535963,0.766563911,3.14837572,0.748477061,3.12856805,0.709740223,2.955497086,1.079483484,3.012563819,0.990974247,2.6599292,0.719563154,3.056249581,0.711899066,2.796682505,1.096877966,3.064636328,1.053640912,2.725728326,0.78401487,2.770189721,0.875967012,2.335645116,1.486071348,2.792025306,1.558354675,2.006630041,1.26332771,2.300033521,1.16476742
Stau1;AK041781,13.17719428,4.054412503,13.17719428,4.054412503,11.62614292,5.594811672,11.62614292,5.594811672,12.58036498,6.569642,11.47922425,3.927296888,11.71962359,5.707957398,11.39141561,2.48178452,13.49270681,6.486676862,11.28651524,4.919811846,11.06971605,3.054257965,11.88681128,12.66093095,11.96880169,3.842061722,11.13485972,8.988141854,11.28133223,3.08015539,11.65477985,3.019984997,10.02021823,4.992141475,11.13109877,6.725293134,12.64053148,3.180898246,10.74377509,2.132284258,10.61945305,4.44181318,11.0861976,5.631074556,9.912064932,3.769739395,10.41494518,8.539557415,11.61774132,3.353627718,10.36083586,5.139236647,9.6887455,3.296607071,9.485181602,4.430626852,10.20815644,4.809427566,9.882556182,6.562952856,10.56304671,5.392409911,9.526838156,6.4571655,9.384815107,6.796423641,8.517661624,10.75336483,8.96267056,4.482684673,7.938913813,11.88524174,8.90572494,5.69258755,9.386147059,11.7789864,7.618662697,7.132968945,6.117045851,10.0929995,7.946597557,8.364608152,7.863942606,15.61236556,4.716603629,5.594059881,5.795202872,12.82070534
Sh3bp1,55.21842274,6.295960004,55.21842274,6.295960004,62.13929022,9.479235897,62.13929022,9.479235897,47.58520374,8.611185941,47.28846139,9.271559002,65.58194646,8.582650961,64.43521815,6.955662431,50.60822815,7.875742319,49.95487245,10.07425064,65.8966968,7.984471555,65.15099347,8.512470974,50.00161525,14.06300194,50.74343088,10.43752726,63.39861445,9.066245102,62.92993757,8.985802222,48.98957242,9.602411644,52.02289212,8.857377072,61.35378207,8.51140206,62.54284918,7.85819632,48.44349836,10.17649612,50.11283449,9.342204871,60.10780115,8.283686428,61.2342928,9.218018814,48.5782768,9.156618085,49.86508215,8.16646914,64.86863775,9.979000114,65.49970473,8.284703539,49.58108499,8.326788032,49.12877149,12.05373687,66.08883531,10.50363864,65.75721347,8.487345198,45.84745067,15.2838519,50.28561623,8.712116911,57.344936,11.37975722,65.58490519,13.3110546,45.23849954,9.655241059,49.29366659,11.16033912,55.72805876,14.01603022,55.23157083,13.71841817,33.60940124,12.23733781,44.9062522,17.76739652,45.16103939,18.90491463,52.94249219,24.80063681
Bptf,0.51791699,0.208673621,0.51791699,0.208673621,0.340167111,0.21559668,0.340167111,0.21559668,0.409611344,0.20645833,0.527812758,0.091761064,0.499285013,NA,0.4724951,0.726640543,0.35351535,0.187423182,0.437109465,0.055725372,0.435759314,1.362192488,0.501647179,0.089374033,0.335501173,NA,0.349954041,0.134353008,0.518908362,0.277650259,0.410804054,1.325031413,0.475606288,0.05552829,0.396301256,0.08954611,0.436720855,1.577435469,0.605101816,0.26294784,0.443866227,0.165051602,0.341600219,0.324059738,0.353246277,0.728786769,0.532805312,NA,0.452742075,0.080194165,0.384629345,0.642460424,0.33509092,0.762787769,0.371348323,1.201013297,0.393739196,0.078581373,0.401229297,0.094522746,NA,NA,NA,NA,0.324182721,0.580899223,0.377833673,0.17334627,0.387930937,0.099333796,0.370940437,0.373245172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345155858,1.083924997,0.609789944,1.089805694,NA,NA
Lasp1,1722.035912,159.3285961,1722.035912,159.3285961,1512.785581,122.4729889,1512.785581,122.4729889,1591.866135,142.286392,1478.751751,161.5112309,1402.364567,108.2959097,1253.107267,88.96717011,1634.953744,131.5210409,1570.459803,143.1204298,1375.546851,105.78128,1302.440182,101.4349631,1556.475504,133.3877508,1655.725771,155.8294901,NA,NA,1341.744697,124.2876971,1566.482142,97.24870044,1603.880685,110.5332023,1294.432545,133.9942544,1349.621917,86.27137812,1508.953029,96.68866476,1613.21023,116.9524817,1243.298476,85.25559641,1284.508767,87.11995067,1440.190165,131.725432,1468.17943,114.4142814,1152.312808,84.81649971,1279.978743,103.6377775,1605.961333,130.2122932,1567.582967,166.1262779,1184.297199,107.4950669,1274.6572,131.1663648,1543.705912,186.0692901,1550.742989,241.0802782,1169.797906,125.5817908,NA,NA,1557.835669,236.7472178,NA,NA,1230.704516,174.6123429,1375.723312,230.9007956,1226.914876,360.4300552,1399.411834,513.8409672,991.6237489,316.5241267,1147.674194,381.3217027
